Age,Revenu,Montant_Credit,Duree_Mois,Score_Credit,Nb_Credits_Prec,Ratio_Dette_Revenu,Statut_Emploi,Niveau_Education,Type_Propriete,Historique_Credit,Objet_Credit,Defaut_Paiement
72,136.43,40.4,43,357,5,64.56,Retraité,Bac,Autre,Mauvais,Immobilier,1
19,110.87,5.78,11,759,2,36.42,CDD,Licence,Propriétaire,Excellent,Immobilier,0
66,141.55,29.74,73,427,0,50.07,CDI,Master,Locataire,Excellent,Immobilier,1
45,96.44,43.6,56,385,3,90.51,CDD,Bac,Propriétaire,Acceptable,Automobile,0
49,78.91,26.33,40,403,5,63.16,CDD,Master,Propriétaire,Bon,Immobilier,0
44,23.06,5.18,63,442,1,39.81,CDD,Bac,Locataire,Acceptable,Automobile,1
37,105.67,5.5,62,504,1,12.03,CDD,Bac,Locataire,Bon,Immobilier,1
41,93.6,23.75,78,337,0,29.37,CDI,Bac,Locataire,Mauvais,Automobile,1
29,148.68,11.98,11,662,8,97.83,CDI,Master,Propriétaire,Acceptable,Consommation,1
67,47.29,34.9,18,608,2,43.74,CDI,Licence,Propriétaire,Acceptable,Automobile,1
52,86.65,36.9,64,351,1,47.18,CDI,Master,Locataire,Bon,Immobilier,0
77,102.88,13.0,35,300,3,49.86,CDI,Licence,Propriétaire,Bon,Immobilier,0
50,102.02,44.98,7,310,5,88.41,Indépendant,Licence,Locataire,Acceptable,Immobilier,1
50,90.77,24.89,63,513,0,60.39,CDI,Master,Propriétaire,Bon,Automobile,1
78,119.89,11.43,41,817,8,69.37,Chômeur,Licence,Locataire,Acceptable,Immobilier,1
68,42.67,39.39,77,714,8,38.94,CDI,Master,Locataire,Bon,Immobilier,0
60,112.96,40.55,50,307,7,2.91,CDI,Bac,Propriétaire,Excellent,Consommation,0
54,98.66,33.77,14,304,5,93.1,CDD,Licence,Locataire,Bon,Immobilier,1
29,135.97,43.41,70,661,3,94.91,CDI,Master,Propriétaire,Excellent,Professionnel,1
20,129.37,38.18,82,411,1,94.92,Chômeur,Master,Propriétaire,Acceptable,Consommation,1
18,57.54,44.7,55,572,7,94.37,CDI,Bac,Propriétaire,Acceptable,Consommation,1
50,52.29,24.52,84,721,6,81.52,CDI,Licence,Locataire,Excellent,Consommation,0
57,147.52,38.64,37,564,3,68.46,Chômeur,Licence,Propriétaire,Bon,Immobilier,0
27,86.18,49.99,48,757,2,84.45,CDI,Licence,Locataire,Acceptable,Immobilier,0
60,137.37,37.62,83,511,5,60.05,CDI,Bac,Propriétaire,Acceptable,Immobilier,0
61,37.12,10.14,59,377,0,13.44,CDI,Bac,Propriétaire,Bon,Immobilier,0
46,101.78,28.32,52,520,1,39.12,CDD,Master,Locataire,Bon,Immobilier,1
30,124.33,31.43,19,668,6,97.13,CDI,Master,Locataire,Acceptable,Consommation,0
29,142.9,12.84,53,646,10,35.11,CDD,Licence,Locataire,Bon,Immobilier,1
48,60.54,48.33,60,324,2,86.78,Indépendant,Master,Locataire,Acceptable,Immobilier,0
63,112.87,12.9,34,719,0,9.32,Chômeur,Bac,Locataire,Acceptable,Consommation,1
19,87.74,12.99,52,653,1,33.42,CDI,Licence,Propriétaire,Acceptable,Immobilier,0
78,23.18,46.18,68,716,9,35.1,CDI,Master,Propriétaire,Mauvais,Automobile,0
68,108.15,25.93,24,814,9,5.16,CDI,Master,Locataire,Acceptable,Immobilier,0
67,108.16,7.84,14,514,8,11.91,CDD,Licence,Locataire,Excellent,Consommation,1
52,140.63,31.92,42,411,6,19.32,CDI,Master,Locataire,Excellent,Automobile,0
40,82.14,32.08,57,727,6,83.78,Indépendant,Licence,Locataire,Excellent,Automobile,0
34,46.08,7.9,62,515,9,6.34,Indépendant,Master,Propriétaire,Excellent,Immobilier,1
43,21.02,48.76,33,712,7,29.87,CDI,Licence,Propriétaire,Excellent,Professionnel,0
25,71.11,29.48,41,679,7,1.02,CDD,Master,Locataire,Bon,Immobilier,0
46,55.76,30.19,69,531,8,69.56,CDI,Bac,Propriétaire,Excellent,Consommation,0
43,117.75,28.41,23,557,1,62.03,CDI,Licence,Propriétaire,Bon,Professionnel,1
27,62.83,32.48,40,555,7,64.5,CDI,Licence,Propriétaire,Acceptable,Automobile,1
43,143.12,16.89,73,702,7,37.44,CDI,Licence,Propriétaire,Acceptable,Automobile,0
79,144.91,17.93,83,723,4,20.83,CDD,Licence,Locataire,Mauvais,Immobilier,1
51,98.82,28.01,44,364,4,72.03,CDD,Master,Propriétaire,Excellent,Automobile,1
68,140.37,41.3,13,489,3,81.11,CDI,Master,Autre,Bon,Consommation,0
58,117.72,7.24,20,472,4,13.86,Retraité,Bac,Locataire,Bon,Immobilier,0
24,88.83,32.15,12,526,1,48.68,CDI,Master,Propriétaire,Bon,Professionnel,0
21,39.34,41.31,22,687,1,24.87,CDI,Bac,Propriétaire,Bon,Consommation,1
75,76.91,12.06,69,700,4,16.81,CDI,Licence,Propriétaire,Excellent,Automobile,0
70,90.72,5.68,17,512,10,73.43,CDD,Master,Locataire,Excellent,Automobile,0
67,131.63,19.07,61,352,2,53.81,Retraité,Bac,Propriétaire,Acceptable,Immobilier,0
62,79.98,31.47,51,438,0,21.62,CDD,Master,Propriétaire,Acceptable,Immobilier,0
28,136.19,11.22,52,717,8,31.0,Chômeur,Master,Propriétaire,Bon,Immobilier,0
46,106.04,24.18,84,442,1,96.67,CDI,Licence,Locataire,Bon,Automobile,1
73,33.49,29.85,21,808,9,84.87,CDI,Licence,Locataire,Bon,Professionnel,1
53,149.32,31.95,74,785,1,87.99,CDD,Licence,Locataire,Excellent,Automobile,1
42,86.18,17.35,7,736,3,46.0,CDD,Doctorat,Locataire,Mauvais,Automobile,1
38,67.9,23.0,59,842,1,62.38,CDI,Bac,Propriétaire,Acceptable,Immobilier,1
78,103.98,40.03,32,592,6,37.68,Chômeur,Licence,Locataire,Excellent,Consommation,1
74,29.7,47.35,36,583,9,7.77,CDI,Bac,Propriétaire,Excellent,Automobile,0
53,100.93,43.78,46,313,0,40.11,CDI,Bac,Locataire,Bon,Automobile,0
27,82.26,30.39,41,571,10,59.4,CDD,Master,Locataire,Excellent,Professionnel,1
54,69.9,23.46,52,324,1,28.71,CDD,Licence,Propriétaire,Mauvais,Consommation,1
26,143.66,19.98,48,621,10,84.8,CDI,Doctorat,Propriétaire,Acceptable,Consommation,1
41,85.54,10.62,70,402,4,15.11,CDI,Licence,Locataire,Bon,Professionnel,0
52,44.58,9.79,55,339,1,36.71,CDD,Licence,Propriétaire,Excellent,Automobile,0
66,76.96,35.98,6,534,8,12.49,CDD,Bac,Propriétaire,Acceptable,Consommation,1
52,139.12,16.69,77,388,3,40.48,Indépendant,Doctorat,Locataire,Bon,Automobile,1
65,38.77,16.46,62,399,8,3.97,Indépendant,Bac,Locataire,Bon,Immobilier,1
53,43.88,49.92,21,443,10,27.25,CDI,Licence,Locataire,Bon,Professionnel,1
35,16.76,13.46,33,381,0,40.07,Retraité,Licence,Locataire,Excellent,Immobilier,1
66,16.92,11.66,27,528,0,47.82,Indépendant,Licence,Propriétaire,Acceptable,Immobilier,0
56,126.97,9.44,46,694,0,54.37,CDI,Licence,Propriétaire,Bon,Immobilier,0
49,113.84,31.09,81,812,3,27.5,CDI,Licence,Locataire,Excellent,Immobilier,0
41,62.93,33.25,24,496,8,52.3,CDI,Bac,Locataire,Excellent,Immobilier,1
40,109.27,21.44,55,573,7,50.9,CDD,Licence,Propriétaire,Bon,Automobile,0
79,68.35,29.09,64,671,6,31.62,Chômeur,Master,Propriétaire,Acceptable,Professionnel,1
49,143.64,40.48,74,379,0,83.02,Indépendant,Licence,Propriétaire,Bon,Immobilier,1
54,145.55,41.81,39,534,2,54.56,Chômeur,Bac,Locataire,Acceptable,Consommation,1
29,68.03,48.11,44,586,8,33.23,CDI,Licence,Propriétaire,Excellent,Immobilier,0
66,130.32,42.09,79,844,8,94.73,CDD,Bac,Locataire,Bon,Immobilier,1
72,119.37,30.42,12,736,4,84.51,CDI,Bac,Autre,Acceptable,Automobile,1
30,56.85,13.08,57,426,5,98.26,CDI,Licence,Locataire,Acceptable,Consommation,1
40,46.33,9.49,65,716,10,69.22,CDD,Licence,Locataire,Bon,Immobilier,1
42,76.86,7.45,57,340,5,37.82,CDI,Bac,Propriétaire,Excellent,Immobilier,0
52,120.48,34.99,84,768,9,28.09,CDD,Licence,Propriétaire,Excellent,Immobilier,0
58,144.62,41.34,29,596,3,66.33,CDD,Doctorat,Locataire,Acceptable,Professionnel,1
47,118.08,27.89,31,341,0,98.08,Indépendant,Doctorat,Propriétaire,Excellent,Immobilier,1
34,130.45,7.46,15,578,4,62.67,CDI,Master,Propriétaire,Excellent,Automobile,1
66,96.41,29.1,22,758,0,88.16,Indépendant,Bac,Locataire,Excellent,Consommation,0
79,127.78,47.11,83,332,0,32.91,Retraité,Bac,Propriétaire,Bon,Automobile,1
37,120.9,31.89,7,575,10,40.7,Chômeur,Master,Locataire,Acceptable,Professionnel,1
65,65.89,41.42,82,389,4,90.63,Indépendant,Bac,Propriétaire,Excellent,Professionnel,0
42,89.52,41.01,32,823,4,75.69,CDD,Bac,Propriétaire,Bon,Automobile,1
39,123.64,46.95,78,459,6,98.14,CDI,Licence,Propriétaire,Excellent,Automobile,0
30,21.22,39.66,76,757,1,77.48,Indépendant,Bac,Autre,Bon,Immobilier,1
76,124.09,38.65,53,698,5,44.85,Indépendant,Master,Locataire,Excellent,Professionnel,1
36,39.01,15.53,79,390,1,53.11,CDD,Master,Propriétaire,Excellent,Immobilier,0
66,84.48,7.7,14,765,9,90.05,Indépendant,Master,Propriétaire,Bon,Consommation,1
53,124.12,28.29,28,519,4,55.16,CDI,Master,Locataire,Acceptable,Immobilier,1
29,49.27,10.6,76,718,3,25.54,CDI,Bac,Propriétaire,Acceptable,Immobilier,1
78,48.18,48.3,78,678,10,43.56,CDD,Master,Propriétaire,Bon,Immobilier,1
58,69.37,18.05,32,746,9,51.63,CDI,Licence,Propriétaire,Excellent,Automobile,1
36,135.78,43.38,76,445,4,9.67,CDI,Licence,Locataire,Bon,Immobilier,0
29,15.06,22.44,48,532,1,74.38,CDI,Bac,Propriétaire,Bon,Immobilier,1
26,136.69,19.54,12,670,7,10.94,CDI,Master,Propriétaire,Acceptable,Immobilier,1
24,35.76,47.08,68,533,7,40.49,Indépendant,Doctorat,Locataire,Mauvais,Immobilier,1
45,148.66,21.35,49,666,5,80.46,CDD,Bac,Propriétaire,Bon,Automobile,0
31,143.9,22.56,44,780,2,46.76,CDI,Bac,Locataire,Bon,Automobile,0
48,81.78,9.77,45,662,3,84.2,CDD,Bac,Locataire,Acceptable,Immobilier,1
69,84.22,35.17,12,810,0,34.19,CDI,Licence,Propriétaire,Bon,Automobile,0
36,80.01,18.0,75,394,8,95.76,CDD,Bac,Propriétaire,Bon,Consommation,1
75,100.78,31.35,30,515,9,20.95,CDI,Master,Locataire,Excellent,Automobile,0
64,27.25,31.61,64,842,4,3.83,Chômeur,Licence,Propriétaire,Bon,Professionnel,1
33,19.4,37.36,18,434,7,87.24,CDI,Licence,Propriétaire,Excellent,Immobilier,1
70,22.79,38.54,67,382,2,75.22,CDD,Master,Locataire,Bon,Consommation,1
22,74.99,28.15,13,690,3,23.2,Chômeur,Licence,Locataire,Bon,Automobile,0
52,52.2,19.89,50,346,3,98.47,Retraité,Licence,Propriétaire,Acceptable,Automobile,1
29,98.98,42.69,23,691,7,50.23,CDI,Master,Propriétaire,Acceptable,Automobile,1
42,148.98,18.94,65,684,8,95.11,CDD,Master,Propriétaire,Mauvais,Immobilier,1
69,67.15,27.84,65,680,2,50.5,CDI,Bac,Locataire,Excellent,Immobilier,0
76,92.47,23.06,7,376,6,47.19,CDD,Bac,Locataire,Bon,Automobile,1
38,71.11,43.48,71,558,8,44.91,CDI,Bac,Locataire,Bon,Immobilier,0
53,129.38,24.44,19,698,1,33.49,Indépendant,Licence,Locataire,Acceptable,Automobile,1
70,136.8,22.37,53,399,3,53.37,CDI,Bac,Locataire,Bon,Consommation,0
40,133.44,36.04,61,800,2,45.26,CDD,Licence,Propriétaire,Excellent,Automobile,0
33,146.54,32.11,17,682,7,3.67,CDD,Master,Propriétaire,Bon,Immobilier,0
74,18.72,9.83,60,491,3,26.04,Retraité,Bac,Locataire,Mauvais,Immobilier,1
56,128.38,27.87,33,644,8,21.31,CDD,Licence,Propriétaire,Acceptable,Immobilier,0
62,116.49,38.1,9,309,0,86.74,CDI,Licence,Propriétaire,Bon,Immobilier,1
70,45.87,49.64,41,563,0,59.89,CDI,Licence,Propriétaire,Acceptable,Immobilier,0
59,144.1,33.31,55,567,3,76.37,CDI,Licence,Locataire,Excellent,Immobilier,0
75,35.0,21.66,8,494,2,95.68,Indépendant,Master,Propriétaire,Bon,Immobilier,1
56,106.74,15.18,6,706,2,64.4,CDD,Bac,Propriétaire,Acceptable,Immobilier,0
31,45.36,44.28,22,595,9,98.26,CDD,Bac,Locataire,Excellent,Professionnel,1
48,73.24,41.66,76,396,1,31.18,CDI,Licence,Propriétaire,Excellent,Professionnel,1
75,112.09,15.53,67,761,9,18.63,Indépendant,Licence,Locataire,Acceptable,Immobilier,1
22,91.05,14.03,53,386,9,40.33,CDD,Bac,Propriétaire,Bon,Immobilier,1
52,72.71,37.18,67,376,1,47.08,Retraité,Bac,Locataire,Mauvais,Automobile,0
40,59.06,19.17,74,782,7,89.54,CDD,Licence,Propriétaire,Excellent,Immobilier,0
46,128.35,18.79,24,445,0,55.99,CDI,Licence,Locataire,Bon,Automobile,0
60,34.41,11.85,39,410,7,29.22,CDI,Doctorat,Locataire,Bon,Automobile,0
28,73.06,16.88,54,596,9,74.26,CDI,Licence,Locataire,Acceptable,Immobilier,0
35,137.01,24.24,52,725,2,50.58,Indépendant,Bac,Locataire,Bon,Consommation,1
64,129.19,37.98,55,633,1,16.21,Indépendant,Licence,Propriétaire,Bon,Consommation,1
29,69.13,20.13,31,822,8,57.68,CDI,Bac,Locataire,Excellent,Professionnel,0
26,118.02,19.79,61,837,4,91.14,CDI,Licence,Locataire,Acceptable,Immobilier,0
27,126.13,17.82,83,461,4,84.26,CDI,Licence,Locataire,Excellent,Consommation,1
75,135.0,26.52,19,729,5,58.68,Chômeur,Licence,Locataire,Excellent,Automobile,1
61,88.51,13.13,83,368,3,37.71,CDI,Master,Propriétaire,Bon,Automobile,1
34,42.6,26.85,30,432,6,8.7,CDI,Bac,Locataire,Bon,Consommation,0
78,49.47,36.69,9,488,6,46.96,CDI,Master,Propriétaire,Excellent,Professionnel,1
55,54.92,6.34,84,578,10,75.21,CDI,Master,Locataire,Excellent,Consommation,0
24,95.16,5.44,37,729,8,36.03,Indépendant,Licence,Propriétaire,Acceptable,Immobilier,0
63,19.43,8.38,83,841,5,23.54,Chômeur,Bac,Propriétaire,Excellent,Automobile,0
30,100.87,29.1,70,460,0,93.14,CDI,Bac,Autre,Excellent,Automobile,0
57,64.19,43.45,66,752,8,82.16,CDD,Licence,Locataire,Excellent,Consommation,0
59,54.86,5.22,25,469,9,63.83,CDI,Licence,Locataire,Mauvais,Consommation,1
26,133.73,47.15,79,356,8,13.68,Retraité,Bac,Locataire,Excellent,Automobile,0
67,77.1,9.78,15,539,4,14.49,CDI,Master,Locataire,Acceptable,Automobile,0
44,27.83,42.89,39,657,6,10.32,CDI,Bac,Locataire,Acceptable,Immobilier,1
75,126.61,26.73,66,500,0,61.63,CDD,Bac,Propriétaire,Bon,Professionnel,1
19,21.43,34.67,32,743,3,11.56,CDI,Bac,Locataire,Bon,Immobilier,1
22,113.11,27.98,45,601,9,84.26,CDI,Bac,Locataire,Acceptable,Automobile,1
46,119.48,26.47,70,405,3,99.3,CDD,Master,Locataire,Acceptable,Consommation,1
54,62.6,42.57,38,400,4,36.63,Indépendant,Licence,Locataire,Acceptable,Automobile,1
55,126.35,39.01,73,396,5,45.37,CDD,Bac,Locataire,Acceptable,Consommation,1
36,84.61,26.75,76,328,3,71.17,CDD,Master,Propriétaire,Bon,Consommation,1
25,77.54,10.02,14,805,5,93.72,CDD,Master,Autre,Acceptable,Immobilier,1
65,21.13,10.19,21,737,9,89.41,CDD,Master,Propriétaire,Excellent,Automobile,1
62,54.15,41.07,10,678,6,5.76,CDD,Master,Locataire,Bon,Consommation,1
18,140.69,28.82,28,372,2,16.91,CDD,Licence,Propriétaire,Bon,Automobile,1
39,67.9,26.67,48,553,8,75.46,CDI,Licence,Locataire,Excellent,Automobile,0
69,88.8,35.63,62,815,7,68.89,CDI,Licence,Locataire,Excellent,Automobile,0
34,86.82,43.65,56,849,0,13.32,CDI,Bac,Locataire,Excellent,Immobilier,1
80,94.71,33.3,18,319,1,50.21,CDI,Licence,Locataire,Bon,Automobile,1
24,23.28,39.33,29,834,1,78.08,Indépendant,Master,Propriétaire,Acceptable,Immobilier,1
42,63.89,39.44,16,720,9,21.88,CDI,Licence,Locataire,Bon,Immobilier,1
62,112.62,21.03,57,745,8,87.13,CDI,Master,Locataire,Acceptable,Automobile,0
21,42.08,17.33,22,435,8,5.3,CDI,Licence,Propriétaire,Excellent,Automobile,0
53,42.48,41.05,42,804,8,78.22,CDI,Licence,Propriétaire,Excellent,Immobilier,0
23,16.36,21.97,18,600,0,61.58,Indépendant,Licence,Propriétaire,Excellent,Consommation,0
77,74.06,45.65,67,332,6,31.52,CDD,Licence,Locataire,Bon,Automobile,0
48,134.17,8.14,13,577,10,72.09,Indépendant,Licence,Locataire,Bon,Professionnel,0
36,22.01,7.62,61,432,2,78.24,CDI,Bac,Autre,Acceptable,Automobile,1
78,40.8,46.72,75,826,10,93.39,Chômeur,Bac,Locataire,Bon,Immobilier,1
61,56.86,34.18,49,425,8,36.78,Retraité,Doctorat,Propriétaire,Bon,Consommation,0
71,113.78,22.08,65,644,7,68.6,CDD,Bac,Locataire,Excellent,Automobile,0
56,101.49,38.98,46,316,2,60.26,Chômeur,Licence,Propriétaire,Excellent,Automobile,1
44,71.15,35.25,26,677,0,52.52,CDD,Licence,Propriétaire,Excellent,Automobile,1
27,117.47,28.9,47,359,8,89.04,Chômeur,Licence,Propriétaire,Acceptable,Immobilier,1
43,97.3,9.45,79,766,9,0.32,Indépendant,Master,Propriétaire,Bon,Immobilier,0
36,135.97,41.55,79,690,0,28.21,Retraité,Master,Propriétaire,Excellent,Immobilier,0
56,125.43,43.97,34,486,2,53.83,CDD,Master,Propriétaire,Bon,Automobile,1
79,49.13,12.75,70,797,5,17.83,Indépendant,Licence,Propriétaire,Bon,Consommation,1
20,51.64,43.27,22,660,5,90.79,CDD,Licence,Propriétaire,Excellent,Consommation,1
62,31.92,44.5,35,748,10,64.76,CDI,Master,Locataire,Bon,Immobilier,0
30,60.49,29.72,31,480,9,47.79,CDI,Doctorat,Propriétaire,Acceptable,Consommation,1
67,149.94,34.53,58,429,3,81.47,Chômeur,Doctorat,Propriétaire,Bon,Automobile,1
45,69.78,22.2,24,448,1,45.09,CDI,Master,Propriétaire,Acceptable,Immobilier,0
79,44.77,17.68,58,771,9,55.87,CDD,Bac,Locataire,Excellent,Consommation,1
75,117.94,37.49,22,799,5,0.28,CDI,Bac,Locataire,Acceptable,Immobilier,1
37,88.23,43.78,51,654,9,36.57,CDI,Master,Locataire,Mauvais,Immobilier,1
45,35.2,34.43,58,510,4,13.88,Chômeur,Master,Locataire,Bon,Immobilier,1
25,66.39,28.02,69,329,5,68.97,Chômeur,Master,Propriétaire,Excellent,Automobile,1
78,70.95,12.15,50,323,6,47.9,CDD,Bac,Propriétaire,Bon,Immobilier,0
80,116.77,7.41,54,521,10,30.18,CDI,Licence,Propriétaire,Bon,Consommation,0
58,17.79,25.06,24,700,8,46.78,CDD,Licence,Autre,Excellent,Automobile,1
56,51.32,7.22,76,811,6,20.96,CDI,Licence,Locataire,Acceptable,Automobile,1
18,84.88,30.62,70,387,3,92.51,CDI,Licence,Propriétaire,Excellent,Immobilier,0
20,51.29,22.22,42,764,9,5.4,CDI,Master,Propriétaire,Excellent,Consommation,0
30,99.84,39.07,75,349,4,86.54,CDD,Bac,Propriétaire,Acceptable,Automobile,1
45,80.05,18.75,31,402,5,51.14,CDI,Licence,Propriétaire,Acceptable,Automobile,0
79,63.83,31.68,7,667,8,61.89,CDD,Licence,Locataire,Excellent,Consommation,1
74,143.14,29.2,64,791,4,30.26,CDI,Licence,Locataire,Acceptable,Immobilier,0
80,100.34,5.21,10,567,4,96.67,CDI,Licence,Locataire,Mauvais,Automobile,1
77,32.54,8.26,42,696,6,28.19,CDI,Master,Propriétaire,Excellent,Automobile,0
66,90.61,18.07,36,619,1,58.89,Retraité,Bac,Propriétaire,Bon,Automobile,0
42,120.4,44.7,81,819,2,99.34,CDD,Bac,Locataire,Acceptable,Immobilier,1
73,110.65,11.62,53,748,1,88.11,CDI,Master,Locataire,Acceptable,Immobilier,0
50,38.23,36.99,11,775,9,53.63,CDD,Licence,Propriétaire,Excellent,Immobilier,0
55,146.28,48.8,20,539,9,99.04,Chômeur,Bac,Locataire,Excellent,Professionnel,1
70,75.59,40.58,20,557,1,70.14,Indépendant,Licence,Locataire,Acceptable,Immobilier,1
23,36.47,15.93,66,689,2,20.87,Indépendant,Licence,Propriétaire,Mauvais,Immobilier,1
75,39.33,45.88,21,642,5,40.56,CDI,Bac,Locataire,Acceptable,Consommation,1
61,28.26,9.19,25,686,4,33.45,CDD,Bac,Propriétaire,Mauvais,Automobile,1
62,123.47,26.07,82,693,10,34.4,Indépendant,Master,Locataire,Bon,Automobile,0
49,31.47,44.94,49,569,4,76.05,CDD,Licence,Propriétaire,Mauvais,Automobile,1
62,31.89,33.86,47,448,1,58.43,Chômeur,Bac,Locataire,Acceptable,Automobile,1
78,129.81,23.61,51,679,1,3.81,CDI,Bac,Propriétaire,Mauvais,Automobile,0
64,61.52,18.18,39,327,0,87.74,CDI,Licence,Propriétaire,Excellent,Immobilier,1
38,19.17,21.88,69,448,2,29.68,Chômeur,Bac,Locataire,Acceptable,Consommation,1
33,22.01,27.9,34,719,10,99.71,CDD,Master,Locataire,Excellent,Immobilier,1
71,34.19,19.36,8,579,6,95.42,CDI,Licence,Locataire,Excellent,Immobilier,1
38,43.81,48.6,14,481,10,94.05,CDI,Licence,Locataire,Bon,Immobilier,0
28,104.79,46.99,80,465,4,81.11,Chômeur,Master,Locataire,Bon,Consommation,1
77,36.24,44.18,80,316,6,22.06,CDI,Licence,Locataire,Excellent,Automobile,0
54,31.05,23.98,30,449,8,53.26,CDI,Bac,Propriétaire,Mauvais,Consommation,1
53,118.24,36.11,47,638,5,22.43,CDI,Licence,Propriétaire,Acceptable,Consommation,1
52,105.59,45.63,51,344,1,25.97,Chômeur,Licence,Propriétaire,Mauvais,Immobilier,1
36,73.77,43.27,78,801,0,61.1,Chômeur,Licence,Propriétaire,Mauvais,Immobilier,1
37,89.16,23.64,64,488,0,4.08,CDD,Licence,Propriétaire,Bon,Automobile,0
74,57.12,10.06,26,360,9,96.95,CDD,Licence,Locataire,Bon,Immobilier,1
35,80.14,8.4,79,593,8,91.87,CDI,Bac,Locataire,Excellent,Immobilier,1
64,83.4,30.97,27,332,5,38.08,CDI,Master,Locataire,Bon,Consommation,0
58,67.28,33.92,34,598,5,51.54,Indépendant,Licence,Autre,Bon,Consommation,1
66,137.39,43.24,68,714,3,46.61,CDI,Licence,Propriétaire,Bon,Immobilier,0
31,17.17,18.16,78,848,1,88.22,CDD,Licence,Propriétaire,Bon,Consommation,0
32,120.59,12.54,66,730,9,68.86,CDD,Licence,Locataire,Excellent,Automobile,0
48,31.79,22.06,69,794,2,27.81,CDI,Bac,Locataire,Bon,Immobilier,1
18,122.67,20.91,74,399,2,44.68,CDD,Bac,Propriétaire,Excellent,Automobile,1
70,98.15,10.96,45,322,7,42.9,CDD,Bac,Locataire,Acceptable,Immobilier,1
71,128.84,35.25,80,719,5,95.93,Indépendant,Licence,Propriétaire,Excellent,Immobilier,1
71,28.16,27.89,6,723,6,17.53,CDI,Licence,Propriétaire,Bon,Immobilier,0
20,90.46,37.45,70,786,8,8.96,CDI,Master,Propriétaire,Excellent,Professionnel,0
33,82.65,20.87,67,388,0,88.06,CDD,Licence,Propriétaire,Acceptable,Automobile,1
40,110.34,19.66,59,508,1,89.67,Retraité,Master,Locataire,Bon,Consommation,1
74,87.13,26.27,65,570,8,87.17,CDI,Master,Propriétaire,Excellent,Immobilier,1
28,88.0,44.48,51,705,4,51.1,Retraité,Doctorat,Autre,Bon,Immobilier,1
29,73.0,6.81,10,577,3,65.97,Indépendant,Master,Propriétaire,Mauvais,Consommation,1
27,56.69,41.22,27,505,0,56.34,Indépendant,Licence,Locataire,Mauvais,Automobile,1
49,80.11,21.6,58,627,8,6.94,CDI,Licence,Locataire,Excellent,Consommation,1
33,31.0,43.46,75,635,10,59.58,CDI,Bac,Locataire,Acceptable,Immobilier,0
25,144.8,41.1,37,337,8,1.36,CDI,Master,Propriétaire,Excellent,Professionnel,0
55,111.45,20.69,16,527,3,32.5,CDI,Licence,Locataire,Excellent,Automobile,0
29,143.58,36.22,15,782,8,93.23,Retraité,Licence,Locataire,Bon,Immobilier,0
41,45.61,12.18,44,433,9,30.4,CDI,Licence,Propriétaire,Excellent,Consommation,1
45,133.71,45.33,36,689,0,93.98,CDD,Licence,Propriétaire,Acceptable,Consommation,1
70,124.19,23.2,17,724,4,25.01,CDI,Licence,Propriétaire,Mauvais,Immobilier,1
25,106.42,25.5,43,809,0,31.46,Indépendant,Licence,Propriétaire,Excellent,Professionnel,1
75,99.38,36.76,72,726,3,62.84,CDI,Master,Propriétaire,Excellent,Consommation,1
45,57.73,41.94,71,773,4,76.16,CDI,Master,Locataire,Bon,Immobilier,1
53,125.22,15.64,57,660,10,50.14,CDI,Master,Propriétaire,Bon,Immobilier,0
43,82.7,34.76,10,510,2,88.21,Indépendant,Master,Locataire,Mauvais,Automobile,1
25,24.57,22.64,16,478,1,4.02,CDI,Bac,Locataire,Acceptable,Immobilier,1
75,57.24,21.59,30,357,5,92.22,CDI,Master,Locataire,Bon,Automobile,1
77,141.27,36.05,40,372,10,19.63,CDI,Bac,Propriétaire,Bon,Consommation,0
67,129.84,22.42,40,514,2,88.42,Retraité,Master,Locataire,Acceptable,Consommation,1
45,147.56,20.57,27,372,9,40.09,CDD,Bac,Propriétaire,Excellent,Automobile,0
45,99.78,42.61,42,766,0,83.28,Indépendant,Licence,Propriétaire,Mauvais,Immobilier,1
54,48.41,9.56,60,570,10,67.17,CDD,Master,Propriétaire,Excellent,Professionnel,0
58,36.98,35.42,80,798,4,17.59,CDI,Licence,Locataire,Bon,Immobilier,1
53,40.23,16.19,77,653,1,91.8,CDD,Licence,Locataire,Excellent,Immobilier,1
44,17.67,5.7,69,533,1,24.55,CDI,Licence,Propriétaire,Bon,Automobile,1
71,67.74,12.5,25,618,3,24.41,CDI,Licence,Propriétaire,Bon,Consommation,0
80,40.84,32.3,9,318,3,81.42,CDD,Bac,Propriétaire,Acceptable,Professionnel,1
34,70.57,36.91,23,671,3,10.59,CDD,Licence,Autre,Acceptable,Professionnel,1
26,141.22,5.95,56,483,6,22.2,CDI,Bac,Autre,Bon,Professionnel,0
50,73.12,6.64,73,576,0,50.37,CDI,Licence,Propriétaire,Bon,Automobile,0
70,133.53,45.61,25,444,7,83.05,Indépendant,Bac,Propriétaire,Acceptable,Immobilier,1
37,96.74,8.3,14,380,9,14.75,Indépendant,Licence,Locataire,Acceptable,Automobile,0
30,48.36,45.24,31,621,8,54.77,CDI,Licence,Propriétaire,Excellent,Immobilier,1
45,63.04,15.27,30,734,9,71.12,CDI,Licence,Propriétaire,Acceptable,Immobilier,1
65,26.33,38.3,73,342,5,86.06,Chômeur,Licence,Locataire,Mauvais,Immobilier,1
